article_name,country,revision_id,population,article_quality
Edson Zvobgo,Zimbabwe,767922311,14,Start
Felix Magalela Mafa Sibanda,Zimbabwe,769519957,14,C
Tracy Mutinhiri,Zimbabwe,769876632,14,Stub
Kayisa Ndiweni,Zimbabwe,771958995,14,Stub
Enoch Dumbutshena,Zimbabwe,774026217,14,Stub
Hubert Nyanhongo,Zimbabwe,774061307,14,Stub
James Chikerema,Zimbabwe,775935799,14,C
Victoria Chitepo,Zimbabwe,776389556,14,Start
Joel Gabuza,Zimbabwe,776840034,14,Stub
Trudy Stevenson,Zimbabwe,776943338,14,Start
Joram Gumbo,Zimbabwe,777424335,14,Stub
Joseph Chinotimba,Zimbabwe,777482252,14,C
Nkululeko Sibanda,Zimbabwe,777623864,14,Start
Janet Banana,Zimbabwe,777849777,14,Stub
Lazarus Dokora,Zimbabwe,780062778,14,Stub
Lutho Tapela,Zimbabwe,782607746,14,Stub
Moven Mahachi,Zimbabwe,783298283,14,Stub
Margaret Dongo,Zimbabwe,783419906,14,Start
Sekai Holland,Zimbabwe,783637102,14,C
George Chiweshe,Zimbabwe,783919896,14,Start
Josiah Mushore Chinamano,Zimbabwe,784396785,14,Stub
Michael Bimha,Zimbabwe,784668448,14,Stub
Josiah Tongogara,Zimbabwe,786913202,14,C
Naison Ndlovu,Zimbabwe,787854175,14,Stub
Enos Mdlongwa,Zimbabwe,787854640,14,Stub
Lindiwe Majele Sibanda,Zimbabwe,788247480,14,Start
Ndabaningi Sithole,Zimbabwe,788291899,14,C
Ambrose Mutinhiri,Zimbabwe,788777043,14,Stub
Judith Todd,Zimbabwe,788792548,14,Start
Andrew Langa,Zimbabwe,789094827,14,Stub
Christopher Kuruneri,Zimbabwe,789427326,14,Start
Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,14,Stub
Swithun Mombeshora,Zimbabwe,789545179,14,Stub
Oppah Muchinguri,Zimbabwe,789545185,14,Stub
Samuel Mumbengegwi,Zimbabwe,789545206,14,Start
Chris Mushohwe,Zimbabwe,789545212,14,Stub
Giles Mutsekwa,Zimbabwe,789545214,14,Start
Francis Nhema,Zimbabwe,789545220,14,Stub
Mike Nyambuya,Zimbabwe,789545233,14,Stub
Solomon Mujuru,Zimbabwe,789898624,14,C
Ronald Penza,Zimbabwe,789948565,14,Stub
Joseph Made,Zimbabwe,789965571,14,Start
Evelyn Masaiti,Zimbabwe,790034879,14,Stub
Jessie Majome,Zimbabwe,790035057,14,Start
Theresa Makoni,Zimbabwe,790423262,14,Stub
List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,14,Stub
Blessing Chebundo,Zimbabwe,791690130,14,Start
George Charamba,Zimbabwe,793738070,14,Start
Chenhanho Chimutengwende,Zimbabwe,793820850,14,Stub
Simon Muzenda,Zimbabwe,794934380,14,Start
Witness Mangwende,Zimbabwe,794934451,14,Stub
Nathan Shamuyarira,Zimbabwe,794934469,14,C
Joseph Makamba Busha,Zimbabwe,795007156,14,Start
Walter Chidakwa,Zimbabwe,795247525,14,Stub
Maxwell Zeb Shumba,Zimbabwe,795637625,14,Start
Henry Madzorera,Zimbabwe,795846349,14,Stub
First Lady of Zimbabwe,Zimbabwe,796477244,14,Stub
Charles Shanyurai Majange,Zimbabwe,796608492,14,Stub
Elleck Mashingaidze,Zimbabwe,796726442,14,Stub
Phillip Chiyangwa,Zimbabwe,797170378,14,Start
Chenjerai Hunzvi,Zimbabwe,797225827,14,C
Edward Chindori-Chininga,Zimbabwe,797414978,14,Start
Arthur Mutambara,Zimbabwe,797932659,14,C
Edgar Tekere,Zimbabwe,798106157,14,C
Psychology Maziwisa,Zimbabwe,798140615,14,C
Isaac Matongo,Zimbabwe,798248963,14,Stub
Julia Tukai Zvobgo,Zimbabwe,798468363,14,Start
Jameson Timba,Zimbabwe,799326094,14,Stub
Ben Ncube,Zimbabwe,799405378,14,Stub
Obedingwa Mguni,Zimbabwe,799406056,14,Stub
Denis Norman,Zimbabwe,799605293,14,Start
Japhet Ndabeni Ncube,Zimbabwe,800407734,14,Stub
Nicholas Mabodoko,Zimbabwe,800407872,14,Stub
Fay Chung,Zimbabwe,800705666,14,B
Alfred Makwarimba,Zimbabwe,801370822,14,Stub
Elphas Mukonoweshuro,Zimbabwe,801488585,14,Stub
Elton Mangoma,Zimbabwe,801497420,14,Start
Edna Madzongwe,Zimbabwe,802259324,14,Start
Fidelis Mhashu,Zimbabwe,803084855,14,Stub
Promise Mkwananzi,Zimbabwe,803579259,14,Start
Saviour Kasukuwere,Zimbabwe,804677245,14,Start
Walter Mzembi,Zimbabwe,804678140,14,Stub
Kembo Mohadi,Zimbabwe,804811059,14,Start
Learnmore Jongwe,Zimbabwe,804844902,14,Start
Lovemore Madhuku,Zimbabwe,804895632,14,C
List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,14,Stub
Joice Mujuru,Zimbabwe,805993308,14,C
Ignatious Chombo,Zimbabwe,806656210,14,Start
Robert Mugabe,Zimbabwe,806814411,14,FA
Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,14,C
Guy Georgias,Zimbabwe,807196681,14,C
Grace Mugabe,Zimbabwe,807337237,14,GA
Guy Clutton-Brock,Zimbabwe,807442408,14,Start
Template:Uganda-politician-stub,Uganda,391862070,44.1,Stub
Template:Uganda-mayor-stub,Uganda,444767727,44.1,Stub
Yosia Nadiope of Busoga,Uganda,655390291,44.1,Stub
Patrick Mutono,Uganda,684295893,44.1,Stub
Stanislaus Okurut,Uganda,689614169,44.1,Stub
Charles Oboth Ofumbi,Uganda,693292931,44.1,Start
Pumla Kisosonkole,Uganda,693388584,44.1,Start
Francis K. Butagira,Uganda,707473503,44.1,Start
Otema Allimadi,Uganda,708054598,44.1,Stub
Omwony Ojwok,Uganda,713020154,44.1,Stub
Jachan Mandir Omach,Uganda,715433158,44.1,Stub
Onegi Obel,Uganda,717146307,44.1,Start
Saleh Kamba,Uganda,720059752,44.1,Stub
John Kabaireho,Uganda,723957779,44.1,Stub
Tete Chelangat,Uganda,724554948,44.1,Stub
Sarah Kanyike,Uganda,725742962,44.1,Start
Gagawala Wambuzi,Uganda,726767754,44.1,Stub
Julius Wandera Maganda,Uganda,726918511,44.1,Stub
Haruna Kasolo Kyeyune,Uganda,726919678,44.1,Stub
Yabezi Kiiza,Uganda,736273855,44.1,Stub
Semei Kakungulu,Uganda,737799048,44.1,C
Abu Mayanja,Uganda,746946728,44.1,C
